nout,lttb_n,lttb_ssim,ilts_n,ilts_ssim,minmaxlttb_n,minmaxlttb_ssim,minmax_n,minmax_ssim,m4_n,m4_ssim,om3_n,om3_ssim
500,2000,0.9475785752047449,2000,0.9491841206251389,1994,0.9443232584788337,2000,0.9315258025102026,2000,0.9998846929737936,16777216,0.8606334320292308
800,2000,0.9519998852798461,2000,0.9523700338836395,1994,0.9471451878780242,2000,0.9371537297968423,2000,0.816942852411759,16777216,0.8423352198635851
1250,2000,0.9447350208967852,2000,0.9466180453852874,1994,0.9370195269631453,2000,0.9317314613578197,2000,0.8278144326920076,16777216,0.843227679860661
2000,2000,0.9299125483256334,2000,0.9317986776217403,1994,0.9181562162878149,2000,0.8971907171083097,2000,0.8100781419342369,16777216,0.8201347089240667
3200,2000,0.9214449259145847,2000,0.9248145271726704,1994,0.9105502674108051,2000,0.8945170451185213,2000,0.7833487947086033,16777216,0.8095122718660764
5000,2000,0.8858047570100767,2000,0.8921883944390053,1994,0.8709566230742595,2000,0.8435981136424678,2000,0.7146414675234367,16777216,0.766875670770176
8000,2000,0.8813197651166069,2000,0.8874814696459696,1994,0.8660824069035065,2000,0.8391347425582055,2000,0.7234538640097607,16777216,0.7608702784178462
12000,2000,0.8529265859851258,2000,0.8609012951455529,1994,0.8352640573611689,2000,0.8010060848088334,2000,0.6673002673236454,16777216,0.7283976246913244
20000,2000,0.8274909342270166,2000,0.8365264132069661,1994,0.8067619136428533,2000,0.7661148010560628,2000,0.6243310920690681,16777216,0.6936670688099225
