nout,lttb_n,lttb_ssim,ilts_n,ilts_ssim,minmaxlttb_n,minmaxlttb_ssim,minmax_n,minmax_ssim,m4_n,m4_ssim,om3_n,om3_ssim
500,2000,0.9516644336673797,2000,0.9633008632264507,2000,0.9516959760603158,2000,0.9449148104151105,2000,0.99944819205075,16777216,0.944633299604638
800,2000,0.9660599328340017,2000,0.9677913693197908,2000,0.9477003749381039,2000,0.9394591573009207,2000,0.9028593031617841,16777216,0.9252513324837661
1250,2000,0.9577896552187758,2000,0.9642077580437678,2000,0.9472369872692813,2000,0.940844086697476,2000,0.9123350473173302,16777216,0.9244363894157469
2000,2000,0.9372137713698122,2000,0.9429086408045733,2000,0.92430279607164,2000,0.9219910834293256,2000,0.8851482412779619,16777216,0.9140902283965734
3200,2000,0.9279285782895016,2000,0.9342888551620326,2000,0.9116098137123773,2000,0.916280872992196,2000,0.8114863494897852,16777216,0.9047966401051601
5000,2000,0.8908263141435657,2000,0.9013381722738605,2000,0.863641257328152,2000,0.8734792073191915,2000,0.7906606462846059,16777216,0.8942953376031344
8000,2000,0.8895264818281571,2000,0.8999050505886138,2000,0.8640341337562455,2000,0.8750694222449115,2000,0.7965033291630471,16777216,0.8914990910987609
12000,2000,0.8668040428548476,2000,0.8782675334716521,2000,0.836346037812134,2000,0.8505269828614034,2000,0.768579634635523,16777216,0.8766636302222911
20000,2000,0.8555076363991845,2000,0.8671556368233246,2000,0.8257506208962261,2000,0.8419550623541928,2000,0.7582428155213404,16777216,0.8670376645068693
