nout,lttb_n,lttb_ssim,ilts_n,ilts_ssim,minmaxlttb_n,minmaxlttb_ssim,minmax_n,minmax_ssim,m4_n,m4_ssim,om3_n,om3_ssim
500,2000,0.9402217189012173,2000,0.9483257932290354,1963,0.9377787184108539,2000,0.9493817188514231,2000,1.0,16777216,0.9126034613755365
800,2000,0.9244733529109337,2000,0.9523065056936908,1963,0.9322203164024139,2000,0.9279870887170478,2000,0.9175859532859406,16777216,0.8858967174953826
1250,2000,0.890240659079042,2000,0.920636348090058,1963,0.8971513051463957,2000,0.903202763543511,2000,0.8513584529555736,16777216,0.8603601105469679
2000,2000,0.8455303670517661,2000,0.881942509870243,1963,0.8377221798255244,2000,0.8214383181997809,2000,0.7905590396439969,16777216,0.8207503731218931
3200,2000,0.8207500585661316,2000,0.8571159103655364,1963,0.8091418744363087,2000,0.811532033000956,2000,0.7235392899977505,16777216,0.81850898052373
5000,2000,0.769964681846748,2000,0.8188244823282874,1963,0.7568648858444521,2000,0.7684106078558277,2000,0.7074228754794073,16777216,0.7844718965354014
8000,2000,0.7738683169997035,2000,0.8219904162353078,1963,0.7606177574786998,2000,0.7723707721086329,2000,0.7183297673196117,16777216,0.7810469414753604
12000,2000,0.7581638762659876,2000,0.8107126822637184,1963,0.738280723806795,2000,0.7584902377225776,2000,0.6928842578758834,16777216,0.7663633369261725
20000,2000,0.7495113749194877,2000,0.8028756984238734,1963,0.7265120284886941,2000,0.749926201965417,2000,0.683414583625898,16777216,0.7498671954696704
