nout,lttb_n,lttb_ssim,ilts_n,ilts_ssim,minmaxlttb_n,minmaxlttb_ssim,minmax_n,minmax_ssim,m4_n,m4_ssim,om3_n,om3_ssim
500,2000,0.8998773490415087,2000,0.9078604408019095,1980,0.8956246857649737,2000,0.9056360906076956,2000,1.0,16777216,0.8921732662334486
800,2000,0.8990521090240163,2000,0.9056602339429577,1980,0.8858854754876628,2000,0.9046453169618957,2000,0.7777319921892737,16777216,0.8431931195516016
1250,2000,0.8841669125110582,2000,0.8988458244628368,1980,0.8811411096414299,2000,0.8869788277414332,2000,0.7676135814143165,16777216,0.8182029045712735
2000,2000,0.8660596922480023,2000,0.877757986293063,1980,0.8573007857325756,2000,0.8426223997047444,2000,0.7450131847832936,16777216,0.8017246813052133
3200,2000,0.8579896502929336,2000,0.8705112123428954,1980,0.8424131553892746,2000,0.8329850802291823,2000,0.7279464997781095,16777216,0.7864854071587276
5000,2000,0.82347310360388,2000,0.8383508562000145,1980,0.8056394743128336,2000,0.7903533070439862,2000,0.6825137789511715,16777216,0.7669621141233427
8000,2000,0.8186696915195312,2000,0.8332370713502384,1980,0.8000485853822962,2000,0.786551507952794,2000,0.6864593697206276,16777216,0.761803810677165
12000,2000,0.797163329823689,2000,0.8123914059854436,1980,0.7783906866644624,2000,0.7636746005069305,2000,0.6628717514579346,16777216,0.7497928311521552
20000,2000,0.7790827831177461,2000,0.795084855505037,1980,0.7600588240616393,2000,0.746141269699993,2000,0.6448222205849171,16777216,0.7382586646102111
