nout,iltsRandom_n,iltsRandom_ssim,ilts_n,ilts_ssim
320,320,0.6031631301941306,320,0.6066980062010796
480,480,0.6701784620316539,480,0.6666670266407413
740,740,0.7346994624793869,740,0.7341121094642024
1200,1200,0.8000514739557515,1200,0.8028789041944666
2000,2000,0.8621032590976763,2000,0.8659042888914814
3500,3500,0.9185205394539062,3500,0.9202420908785558
6000,6000,0.9452574357124798,6000,0.946005830514107
10000,10000,0.9624569341332022,10000,0.9644447505068731
15000,15000,0.970855072383036,15000,0.9708374482021952
