nout,iltsRandom_n,iltsRandom_ssim,ilts_n,ilts_ssim
320,320,0.5874979737761601,320,0.5873282358010191
480,480,0.6370718069157674,480,0.6358954197927081
740,740,0.7023381130567656,740,0.7016207526126363
1200,1200,0.771508351605742,1200,0.7712498058457665
2000,2000,0.8442834322192401,2000,0.8454319884933617
3500,3500,0.9263826480261286,3500,0.9273784969610116
6000,6000,0.9501360855080592,6000,0.9498658071333028
10000,10000,0.9662350457520065,10000,0.9665718042694765
15000,15000,0.9730170555207254,15000,0.9723187258268737
