nout,iltsRandom_n,iltsRandom_ssim,ilts_n,ilts_ssim
320,320,0.6339560728861121,320,0.6300372486797201
480,480,0.75438343774307,480,0.7499423834847289
740,740,0.8065911646082471,740,0.8083047458943687
1200,1200,0.8710701949612152,1200,0.8714402226819218
2000,2000,0.9169992693933913,2000,0.9185101179844013
3500,3500,0.9475279056186812,3500,0.949469759784644
6000,6000,0.9700457007682101,6000,0.9704864407358503
10000,10000,0.9782608302938564,10000,0.9783154111745541
15000,15000,0.9819206558468521,15000,0.9831808182007172
