nout,iltsRandom_n,iltsRandom_ssim,ilts_n,ilts_ssim
320,320,0.7338630769373734,320,0.7347019347563857
480,480,0.7741845236606334,480,0.7722079892808277
740,740,0.8212051392466437,740,0.8220705866545048
1200,1200,0.872329499729384,1200,0.8766897030895366
2000,2000,0.9287285741689076,2000,0.9288163052305742
3500,3500,0.9736607696523804,3500,0.9726354069112622
6000,6000,0.9837938475529453,6000,0.9864944047831938
10000,10000,0.9907861529274822,10000,0.990447928432525
15000,15000,0.9935625046528379,15000,0.9937558848507799
