i,minvd,maxvd
79,0.42638929929870706,398.67390509835354
80,3.197918950528468,84.21186874172827
81,-4.3704897221528665,-121.52086531946543
82,2.1319460993876156,-246.23972305405346
83,3.6243082498271733,473.29199991294206
84,-1.8121539263606312,110.86119557973234
85,1.3857654212737511,-3.197890756008519
86,1.3857650241678368,122.58696445028727
87,-1.8121541249135866,862.37223274327
88,1.065973248246765,44.77087722057581
89,-0.7461814723256932,-265.4272709083332
90,-1.492362547545472,139.64251736115193
91,1.0659732482467668,79.94798051401222
92,-2.451737875308689,-295.27448850234555
93,3.197919149081425,-4.263888227716052
94,2.1319464964935317,133.24663419002036
95,-1.492362547545472,95.9376376122832
96,-1.3857646270619242,-189.74317862203702
97,4.263892198775233,160.96195849973196
98,-1.3857650241678385,152.43418204429986
99,3.5177111235554523,410.3995723097946
100,1.065973248246765,139.64251736115193
101,-1.0659728511408524,184.41329292261344
102,0,1070.2370064778893
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,-0.8094917876754018,-148.0213948479717
129,0,900.1550195362543
130,0.34692492877548986,-754.4464426124246
131,-0.34692492877548986,-244.0039935141665
132,3.122326082174956,69.03810649100456
133,-0.4625668588999101,863.3808754175147
134,3.1223258667755136,-995.4437218186185
135,0,160.1637751094936
136,0.34692492877548986,-163.05471824767562
137,0,-139.92634600835572
138,-2.3128338637006696,-478.7566050472507
139,0.809492003074844,320.9057167897207
140,2.6597592232750475,-662.7426074232019
141,0.6938502883498678,61.29006787834396
142,-5.0882348017006915,-266.78535552653136
143,-1.1564167164508916,-569.4196852668955
144,-1.2720590773742,-227.0046832049385
145,1.6189840061496898,-275.80541573706296
146,-1.6189838446001072,-48.338226846666316
147,6.244651572001445,-405.2084960221092
148,-0.3469249287754881,107.77802384301935
149,-2.775401153399468,68.92247317685758
150,0.6938498575509797,-16.883676995081203
151,-1.5033420760252678,-134.14434944747654
152,0.346925359574378,492.6336504477456
153,-2.3128338637006696,-68.2286181497202
154,-2.6597592232750458,-215.0935144294524
155,-1.7501081809713401,-35.84886392931776
156,0.7461810752197788,65.02432088744877
157,6.502435821540482,35.177103293436176
158,3.9441004228541594,202.5348433051854
159,0.7461810752197788,166.29174254004147
160,1.3857650241678368,215.3266096474474
161,6.076046323688821,341.2180036054457
162,-3.6243082498271733,78.88208470141899
163,0.6395835518421435,444.9371381156743
164,0.31979217302698437,-100.20152583999948
165,-1.3857650241678368,95.93753595316889
166,-0.7461814723256932,-214.2606121757401
167,-4.3704897221528665,35.177103293436176
168,-2.5583350015804083,-212.12861723232504
169,-0.7461810752197771,39.44099152115223
170,3.3045164739061015,-498.87543093835257
171,-3.624308646933086,-10.65966973973309
172,-0.7461810752197806,-43.70487974886828
173,-1.492362547545472,8.527776455432104
174,-2.13194590083466,-88.47575696944409
175,1.7055568000889094,54.36462573293716
176,2.1319460993876156,-51.16665873259308
177,3.944100422854161,222.78838863117244
178,-0.10659752337763351,-22.385438610288134
179,0.7461810752197788,185.47929039432097
180,2.238543622765251,12.791664683148156
181,-0.3197917759210718,109.7951981080248
182,3.197919149081425,-118.32297456345714
183,-4.263892397328192,12.791664683148383
184,4.583683974696305,-51.16676039170761
185,2.238543622765251,216.3925054600411
186,0,-959.6955857414818
187,-0.6395839489480561,264.3613750957402
188,1.3857646270619242,73.55209734288087
189,-1.3857650241678385,627.964715652359
190,2.55833559723928,-266.4932683800407
191,0.6395835518421453,188.6771811503295
192,-0.3197917759210718,206.79883319201554
193,-0.42638949785166247,-473.29199991294183
194,0.42638929929870706,-216.3926071191554
195,3.197918950528468,-387.907594947804
196,-2.8781275717133106,-120.45496950687175
197,1.492362547545472,-124.71885773458803
198,0,-167.35774001174946
199,-5.010073472547969,-232.38216255831196
200,-1.8121541249135866,234.5140558426133
201,0.6395839489480561,-59.694435188024954
202,-1.705556402982996,253.70160369689256
203,1.3857650241678368,168.4238391425706
204,0,1070.2370064778893
205,0,0
