i,minvd,maxvd
384,0.1,27.099999999999998
385,0,0.5999999999999996
386,0,-1.6
387,0,1.1
388,0.1,35.1
389,0,22.1
390,0.1,-1.2000000000000002
391,-0.1,0.5
392,0,9.9
393,0,-10
394,0,28.299999999999997
395,-0.1,-31.799999999999997
396,0,-1.6
397,0,-2.1999999999999993
398,0,2.8
399,-0.1,-1.2999999999999998
400,-0.1,-2.7
401,0,0.19999999999999973
402,0,-1.0999999999999996
403,0,-0.1999999999999993
404,-0.1,8.899999999999999
405,0,-0.8999999999999999
406,0,2.0999999999999996
407,-0.1,33.5
408,0,1.2000000000000002
409,0,0
410,0,0
411,0,0
412,0,0
413,0,0
414,0,0
415,0,0
416,0,0
417,0,0
418,0,0
419,0,0
420,0,0
421,0,0
422,0,0
423,0,0
424,0,0
425,0,0
426,0,0
427,0,0
428,0,0
429,0,0
430,0,0
431,0,0
432,0,0
433,0,0
434,0,0
435,0,0
436,0,0
437,0,0
438,0,0
439,0,0
440,0,0
441,0,0
442,0,0
443,0,0
444,0,0
445,0,0
446,0,0
447,0,0
448,0,0
449,0,0
450,0,0
451,0,0
452,0,0
453,0,0
454,0,0
455,0,0
456,0,0
457,0,0
458,0,0
459,0,0
460,0,0
461,0,0
462,0,0
463,0,0
464,0,0
465,0,0
466,0,0
467,0,0
468,0,0
469,0,0
470,0,0
471,0,0
472,0,0
473,0,0
474,0,0
475,0,0
476,0,0
477,0,0
478,0,0
479,0,0
480,0,0
481,0,0
482,0,0
483,0,0
484,0,0
485,0,0
486,0,0
487,0,0
488,0,0
489,0,0
490,0,0
491,0,0
492,0,0
493,0,0
494,0,0
495,0,0
496,0,0
497,0,0
498,0,0
499,0,0
500,0,0
501,0,0
502,0,0
503,0,0
504,0,0
505,0,0
506,0,0
507,0,0
508,0,0
509,0,0
510,0,0
511,0,0
512,0,0.8000000000000007
513,0.1,-1.5999999999999979
514,0,-7.1
515,-0.1,-24.1
516,0.1,22.8
517,0,-1.0999999999999999
518,0.1,4.600000000000001
519,-0.1,6.500000000000001
520,0,-0.9000000000000004
521,0,14.600000000000001
522,0,0.5
523,-0.1,-2.6999999999999993
524,0.1,4.4
525,0,-2.5999999999999996
526,0.1,-0.10000000000000053
527,0,8.500000000000002
528,-0.1,-5.9
529,0,-22
530,0,-12.700000000000001
531,0,-31.599999999999998
532,0.1,4.199999999999999
533,0,-2.5999999999999996
534,0.1,2.6999999999999993
535,0,-18.9
536,0,27.4
537,-0.1,21.8
538,0,1.6000000000000005
539,-0.1,-15.299999999999999
540,-0.1,14.6
541,0.1,28.599999999999998
542,0,-6.599999999999998
543,0,-28.3
544,0.1,11.900000000000002
545,-0.2,-5.600000000000001
546,0,5
547,0,6.100000000000001
548,0,-16.3
549,0.1,19.9
550,0,-1.5999999999999943
551,0,16.8
552,0.1,25.8
553,-0.1,-12.3
554,0,-15
555,0,-2.5000000000000036
556,0,12.600000000000001
557,0.1,9.3
558,-0.1,-0.8000000000000007
559,0,-3.3000000000000007
560,0.1,17.9
561,-0.1,-15.5
562,0,22.4
563,-0.1,-11
564,-0.1,-9.7
565,0.2,7.400000000000002
566,-0.1,-13.5
567,0,-18.6
568,0.1,3.700000000000003
569,0,-15.299999999999997
570,0,12.3
571,0.1,-1.8999999999999986
572,0,0.6000000000000005
573,0.1,-14.900000000000002
574,-0.1,-1.5
575,0,24.4
576,0.1,-4.5
577,-0.1,-0.2999999999999998
578,0.1,1.1000000000000005
579,0.1,-11
580,0,-10
581,0,0.5
582,-0.1,-15.5
583,0,4.999999999999998
584,0,-3.3999999999999986
585,0,-4.899999999999999
586,0,8.5
587,-0.1,-0.39999999999999947
588,-0.1,-14.500000000000002
589,0,5.199999999999996
590,0,-15.699999999999996
591,0.1,-14.500000000000002
592,0,32.2
593,0,-10.599999999999998
594,0.1,33.9
595,-0.1,-27.4
596,0,11.399999999999999
597,0.1,-22.8
598,-0.1,-19
599,0,-17
600,-0.1,-3.1999999999999993
601,0,-27.8
602,0.1,0.2999999999999998
603,-0.1,-4.099999999999998
604,0,4.100000000000001
605,0,22.5
606,0,-0.3000000000000007
607,0,-14.7
608,0.1,0.8000000000000007
609,0,-4.199999999999999
610,0.1,27.200000000000003
611,0,0.40000000000000036
612,0,-8.100000000000001
613,0.1,36.1
614,0,-19.7
615,0,-2
616,0,6.8
617,-0.1,-28.200000000000003
618,0.1,-7.6000000000000005
619,0,2.7
620,0,0.19999999999999973
621,0,8.799999999999997
622,-0.1,8.1
623,0,1
624,0,-13.8
625,0,-3.9999999999999996
626,0,-0.10000000000000142
627,0,-11.6
628,0.1,-28.700000000000003
629,0.1,-16
630,0,-1
631,0,1
632,0.1,15.100000000000001
633,0,12.899999999999999
634,0.1,0.9000000000000004
635,0,-2.4000000000000004
636,0.1,0.10000000000000053
637,0,0.8000000000000003
638,0,11.2
639,0,0.2999999999999998
640,0.1,1.9000000000000004
641,-0.1,-0.5
642,0,-14.3
643,0,-0.7999999999999998
644,0,-0.8999999999999995
645,0,-5.899999999999999
646,-0.1,-1.8000000000000003
647,0.1,1.0999999999999996
648,0,-0.5
649,-0.1,-0.6999999999999993
650,0.1,1.3000000000000003
651,0,-1
652,0,-0.2999999999999998
653,0,-0.09999999999999964
654,0,-0.40000000000000036
655,0,1.0999999999999996
656,0,0.40000000000000036
657,0,-0.9000000000000004
658,0,-19.7
659,0,-0.7999999999999998
660,0,-24.2
661,0,0.5
662,-0.1,-1
663,0,1
664,0,-0.8
665,0,4.199999999999999
666,-0.1,3.1999999999999993
667,0,-0.40000000000000036
668,0,-29.400000000000002
669,0,3.9000000000000004
670,-0.1,0
671,-0.1,25.1
672,0,0
673,0,-0.1999999999999993
674,0,2.5999999999999996
675,-0.1,-0.6000000000000005
676,0,0.10000000000000053
677,0,0.5
678,-0.1,-22
679,0.1,33.2
680,0,-12.399999999999999
681,0,32
682,0,5
683,-0.2,-2.3000000000000007
684,0.1,-29.4
685,0,24.2
686,-0.1,-3.6
687,0,3.5
688,-0.1,-0.39999999999999947
689,0.1,-19.6
690,0,1.8000000000000003
691,-0.1,-25.400000000000002
692,0.1,3.5999999999999996
693,0,-2.8
694,0,1.5
695,0,31.000000000000004
696,-0.1,-2.8
697,-0.1,0.09999999999999964
698,0,0.9000000000000004
699,0,21.9
700,0,1.5
701,0,-18.5
702,0.1,-2.4
703,0,1.4
704,-0.1,-31.599999999999998
705,0.1,5.900000000000002
706,0,0.7000000000000002
707,-0.1,23.3
708,0,2.3000000000000003
709,0.1,-9.299999999999999
710,0,-26.1
711,0,1.1999999999999997
712,-0.1,20.6
713,0.1,2.299999999999997
714,0,-0.30000000000000027
715,-0.1,19.6
716,0,2.8000000000000003
717,0,-23.599999999999998
718,-0.1,26.800000000000004
719,0,-0.30000000000000027
720,-0.1,12.100000000000001
