m,estimated chunks per interval,MinMax(ns),A_METADATAS(ns),B_CHUNK(ns),readChunkNum,traversedPointNum,M4(ns),A_METADATAS(ns),B_CHUNK(ns),readChunkNum,traversedPointNum,LTTB(ns),A_METADATAS(ns),B_CHUNK(ns),readChunkNum,traversedPointNum,MinMaxLTTB(ns),A_METADATAS(ns),B_CHUNK(ns),readChunkNum,traversedPointNum,ILTS(ns),A_METADATAS(ns),B_CHUNK(ns),readChunkNum,traversedPointNum,OM3(ns),A_METADATAS(ns),B_CHUNK(ns),readChunkNum,traversedPointNum
320,104.166,3.1584166625E10,5.04225789E8,3.0431565738E10,33334.0,1.0000159E7,3.1550366886E10,4.93265603E8,3.0308598601E10,33334.0,1.0000079E7,3.1573649639E10,4.87030971E8,3.0255907305E10,33334.0,2.0048881E7,3.1678842555E10,4.82003561E8,3.0569639103E10,33334.0,1.0001597E7,1.971511768E9,4.97818821E8,1.136817967E9,1234.0,148773.0,5.216734623E10,5.56798976E8,5.0942627583E10,55928.0,1.6777218E7
480,69.444,3.1679944392E10,5.32771261E8,3.0494213333E10,33334.0,1.000008E7,3.1491359534E10,4.78949972E8,3.0270063423E10,33334.0,9999960.0,3.1647104141E10,5.15516955E8,3.0302493677E10,33334.0,2.0123564E7,3.1590124123E10,4.87611872E8,3.0340048231E10,33334.0,1.0002238E7,2.766936211E9,4.85157951E8,1.913210311E9,2075.0,272276.0,5.2248995854E10,6.0225073E8,5.0994439235E10,55928.0,1.6777218E7
740,45.045,3.1603761434E10,4.85174115E8,3.0357556693E10,33334.0,9999990.0,3.1517333048E10,4.81275366E8,3.0386492217E10,33334.0,9999805.0,3.1686247649E10,4.9609348E8,3.0322886156E10,33334.0,2.0208982E7,3.1626429013E10,5.13122141E8,3.0448059638E10,33334.0,1.0003318E7,3.677368655E9,5.06272461E8,2.807175018E9,3042.0,428906.0,5.2378613386E10,5.88260307E8,5.0947528335E10,55928.0,1.6777218E7
1200,27.777,3.1828204221E10,4.92732593E8,3.0663838186E10,33334.0,1.00002E7,3.1490916989E10,4.82876302E8,3.024646182E10,33334.0,9999900.0,3.1714832606E10,4.93257161E8,3.0466063988E10,33334.0,2.0352058E7,3.1674536622E10,5.09877632E8,3.0396595063E10,33334.0,1.0005598E7,5.089225684E9,4.89337136E8,4.239442131E9,4617.0,708561.0,5.2494593778E10,6.03128151E8,5.1054002786E10,55928.0,1.6777218E7
2000,16.666,3.1824423261E10,5.18858531E8,3.05516276E10,33334.0,1.0000999E7,3.1586984E10,4.84424891E8,3.0336079515E10,33334.0,1.0000499E7,3.1719946898E10,5.16193909E8,3.045270022E10,33334.0,2.0397665E7,3.156632753E10,4.80668725E8,3.0449179992E10,33334.0,1.0009997E7,7.161428121E9,4.85995103E8,6.305444157E9,6880.0,830966.0,5.2485017424E10,5.91546038E8,5.1015062409E10,55928.0,1.6777218E7
3500,9.523,3.1737764269E10,5.13480252E8,3.0555876684E10,33334.0,1.000125E7,3.1612927561E10,5.01990224E8,3.0338073803E10,33334.0,1.0000375E7,3.1716597412E10,5.07799007E8,3.0341733078E10,33334.0,2.104882E7,3.1589136173E10,4.98070127E8,3.0312222873E10,33334.0,1.0016998E7,1.2029415693E10,4.93328066E8,1.1052154655E10,12068.0,2082170.0,5.2315651915E10,5.7955281E8,5.0912338639E10,55928.0,1.6777218E7
6000,5.555,3.1657014317E10,4.90282523E8,3.0381420871E10,33334.0,1.0002333E7,3.1555980462E10,4.89519285E8,3.030390483E10,33334.0,9997500.0,3.1668959069E10,5.0576501E8,3.0314555282E10,33334.0,2.1797253E7,3.1627799285E10,5.00194438E8,3.0360814852E10,33334.0,1.002934E7,1.7529798977E10,4.73267026E8,1.6595611622E10,18147.0,3591878.0,5.227481907E10,6.12505604E8,5.085327685E10,55928.0,1.6777218E7
10000,3.333,3.1597699865E10,5.01944589E8,3.0327306358E10,33334.0,1.0004999E7,3.1583143245E10,4.7967857E8,3.0332611951E10,33334.0,1.0002499E7,3.1627666311E10,4.83099975E8,3.042148106E10,33334.0,2.2012131E7,3.166245637E10,4.79515957E8,3.0412108702E10,33334.0,1.0049997E7,2.21065976E10,4.84930962E8,2.1093289455E10,23081.0,4396133.0,5.2413509494E10,5.87847559E8,5.0943266532E10,55928.0,1.6777218E7
15000,2.222,3.1660785576E10,4.81452565E8,3.0383726053E10,33334.0,1.0006831E7,3.1611064661E10,5.09861167E8,3.0443256416E10,33334.0,1.0001745E7,3.1688898272E10,4.77332921E8,3.0342316831E10,33334.0,2.4443003E7,3.1649123168E10,4.82865767E8,3.0388626365E10,33334.0,1.0075063E7,2.7358758197E10,4.89455912E8,2.6283941182E10,28694.0,9918534.0,5.2508080049E10,5.96116622E8,5.0990146864E10,55928.0,1.6777218E7
