m,estimated chunks per interval,MinMax(ns),A_METADATAS(ns),B_CHUNK(ns),readChunkNum,traversedPointNum,M4(ns),A_METADATAS(ns),B_CHUNK(ns),readChunkNum,traversedPointNum,LTTB(ns),A_METADATAS(ns),B_CHUNK(ns),readChunkNum,traversedPointNum,MinMaxLTTB(ns),A_METADATAS(ns),B_CHUNK(ns),readChunkNum,traversedPointNum,ILTS(ns),A_METADATAS(ns),B_CHUNK(ns),readChunkNum,traversedPointNum,OM3(ns),A_METADATAS(ns),B_CHUNK(ns),readChunkNum,traversedPointNum
320,104.166,3.1492296674E10,4.74845209E8,3.0372565458E10,33334.0,1.0000159E7,3.1506591452E10,4.82009497E8,3.0378150779E10,33334.0,1.0000079E7,3.1780757635E10,5.06094299E8,3.0544033007E10,33334.0,2.0048881E7,3.1654881249E10,4.76840058E8,3.0422863465E10,33334.0,1.0001597E7,1.170111986E9,4.86163909E8,3.58992341E8,387.0,176753.0,5.2099078458E10,5.70310069E8,5.0816410541E10,55928.0,1.6777218E7
480,69.444,3.1602314925E10,5.14456723E8,3.0431995944E10,33334.0,1.000008E7,3.1696252647E10,4.81378374E8,3.0561604216E10,33334.0,9999960.0,3.1748107602E10,4.8423875E8,3.0374826054E10,33334.0,2.0123564E7,3.1539731719E10,4.99733448E8,3.0286159274E10,33334.0,1.0002238E7,1.399958134E9,4.86963517E8,5.78176158E8,626.0,302813.0,5.2132187484E10,5.65959816E8,5.0894728579E10,55928.0,1.6777218E7
740,45.045,3.1545486538E10,4.77538385E8,3.0306504603E10,33334.0,9999990.0,3.1563261972E10,5.13170317E8,3.0284632193E10,33334.0,9999805.0,3.1646045752E10,5.11928068E8,3.0289349955E10,33334.0,2.0208982E7,3.1592730544E10,4.74870722E8,3.0365889644E10,33334.0,1.0003318E7,1.674891243E9,4.78014094E8,8.69676471E8,940.0,441857.0,5.2167691428E10,5.87361495E8,5.0870030632E10,55928.0,1.6777218E7
1200,27.777,3.1601633953E10,5.06962355E8,3.0330438108E10,33334.0,1.00002E7,3.1537960736E10,4.94956289E8,3.0267465798E10,33334.0,9999900.0,3.1741996399E10,4.87625546E8,3.041010526E10,33334.0,2.0352058E7,3.1554155311E10,5.00097918E8,3.0405541332E10,33334.0,1.0005598E7,2.128721742E9,4.79638515E8,1.323011213E9,1443.0,679239.0,5.2107169799E10,5.97363756E8,5.0831791851E10,55928.0,1.6777218E7
2000,16.666,3.1557544334E10,4.84601337E8,3.0313749498E10,33334.0,1.0000999E7,3.1544634403E10,4.78726531E8,3.0403323603E10,33334.0,1.0000499E7,3.1626190292E10,4.97308191E8,3.0289761838E10,33334.0,2.0397665E7,3.1626589448E10,4.78810133E8,3.0500219588E10,33334.0,1.0009997E7,2.367641975E9,4.93930524E8,1.542965632E9,1654.0,731477.0,5.2181616645E10,5.74374583E8,5.0912181908E10,55928.0,1.6777218E7
3500,9.523,3.1523429876E10,4.80286693E8,3.0269955354E10,33334.0,1.000125E7,3.1568870282E10,4.83440447E8,3.0421787974E10,33334.0,1.0000375E7,3.1685220972E10,4.99975391E8,3.0432367739E10,33334.0,2.104882E7,3.1525205021E10,4.82619682E8,3.0397363354E10,33334.0,1.0016998E7,4.457262728E9,4.87891943E8,3.558197838E9,3878.0,1845767.0,5.2371357188E10,5.93228212E8,5.0903769125E10,55928.0,1.6777218E7
6000,5.555,3.1557307045E10,5.04588164E8,3.0384268424E10,33334.0,1.0002333E7,3.160146298E10,5.22013767E8,3.030664368E10,33334.0,9997500.0,3.1657292534E10,4.81662141E8,3.0410900847E10,33334.0,2.1797253E7,3.1526558728E10,4.88039505E8,3.0382567963E10,33334.0,1.002934E7,6.743552463E9,4.82694495E8,5.853947356E9,6390.0,3048116.0,5.2556507573E10,5.96561117E8,5.1072721216E10,55928.0,1.6777218E7
10000,3.333,3.1530303295E10,4.73036447E8,3.0393067582E10,33334.0,1.0004999E7,3.1639543108E10,5.05555112E8,3.0353793359E10,33334.0,1.0002499E7,3.1723963966E10,4.86262933E8,3.047795323E10,33334.0,2.2012131E7,3.1637445682E10,4.85385507E8,3.0353514887E10,33334.0,1.0049997E7,7.569061222E9,5.08994005E8,6.686508394E9,7303.0,3337202.0,5.2382307285E10,5.84606724E8,5.1015317616E10,55928.0,1.6777218E7
15000,2.222,3.1593849176E10,5.08341987E8,3.0414615008E10,33334.0,1.0006831E7,3.1634072192E10,4.95469741E8,3.0451204558E10,33334.0,1.0001745E7,3.174350618E10,4.85723668E8,3.0394463088E10,33334.0,2.4443003E7,3.1536512818E10,4.95728329E8,3.0270747475E10,33334.0,1.0075063E7,1.4823980881E10,4.81547056E8,1.3932865371E10,15306.0,7198387.0,5.2355542515E10,6.27530771E8,5.0937043703E10,55928.0,1.6777218E7
