m,estimated chunks per interval,MinMax(ns),A_METADATAS(ns),B_CHUNK(ns),readChunkNum,traversedPointNum,M4(ns),A_METADATAS(ns),B_CHUNK(ns),readChunkNum,traversedPointNum,LTTB(ns),A_METADATAS(ns),B_CHUNK(ns),readChunkNum,traversedPointNum,MinMaxLTTB(ns),A_METADATAS(ns),B_CHUNK(ns),readChunkNum,traversedPointNum,ILTS(ns),A_METADATAS(ns),B_CHUNK(ns),readChunkNum,traversedPointNum,OM3(ns),A_METADATAS(ns),B_CHUNK(ns),readChunkNum,traversedPointNum
320,104.166,3.1573702862E10,4.95274362E8,3.0448573727E10,33334.0,1.0000159E7,3.155966003E10,4.94675127E8,3.0320493525E10,33334.0,1.0000079E7,3.1628281813E10,4.94763586E8,3.0294215398E10,33334.0,2.0048881E7,3.1576652466E10,4.80283919E8,3.0464325499E10,33334.0,1.0001597E7,1.90709361E9,5.07270983E8,1.005796459E9,1087.0,174720.0,5.2323995195E10,5.74431606E8,5.1050144909E10,55928.0,1.6777218E7
480,69.444,3.1554405593E10,4.860399E8,3.0419143367E10,33334.0,1.000008E7,3.1585941322E10,4.82132507E8,3.0354645794E10,33334.0,9999960.0,3.166872815E10,5.14701183E8,3.0322440939E10,33334.0,2.0123564E7,3.1561728483E10,4.70812485E8,3.0458409519E10,33334.0,1.0002238E7,2.325126896E9,4.73852452E8,1.530088808E9,1661.0,310405.0,5.2239240074E10,5.8865919E8,5.0921261213E10,55928.0,1.6777218E7
740,45.045,3.1539880238E10,4.93368391E8,3.039615089E10,33334.0,9999990.0,3.1596583243E10,4.82916482E8,3.0467657365E10,33334.0,9999805.0,3.1592050511E10,4.8487606E8,3.0376016421E10,33334.0,2.0208982E7,3.1517604535E10,4.79739645E8,3.0296936617E10,33334.0,1.0003318E7,3.068309628E9,5.13375552E8,2.149176918E9,2341.0,496971.0,5.2287668125E10,6.19754331E8,5.0958812989E10,55928.0,1.6777218E7
1200,27.777,3.1580129218E10,5.09450156E8,3.0317343137E10,33334.0,1.00002E7,3.161486773E10,5.11621109E8,3.032706025E10,33334.0,9999900.0,3.1658601994E10,4.77301016E8,3.0442948474E10,33334.0,2.0352058E7,3.1561175089E10,4.88852374E8,3.0329323035E10,33334.0,1.0005598E7,4.279213185E9,5.02352488E8,3.40633173E9,3706.0,825651.0,5.2233573923E10,5.92005498E8,5.0964942262E10,55928.0,1.6777218E7
2000,16.666,3.1548240692E10,4.76114366E8,3.0321660782E10,33334.0,1.0000999E7,3.1498786648E10,4.79586906E8,3.0264130443E10,33334.0,1.0000499E7,3.1710296657E10,4.89374773E8,3.049800684E10,33334.0,2.0397665E7,3.1670134567E10,4.93012049E8,3.0389858824E10,33334.0,1.0009997E7,5.78109304E9,5.19773278E8,4.886065412E9,5354.0,956946.0,5.2363112776E10,5.75660428E8,5.0852838333E10,55928.0,1.6777218E7
3500,9.523,3.1543605754E10,4.95809443E8,3.0394550088E10,33334.0,1.000125E7,3.1519326795E10,4.80177616E8,3.0286774699E10,33334.0,1.0000375E7,3.1652889968E10,4.71871077E8,3.0337329819E10,33334.0,2.104882E7,3.1597520805E10,4.78878772E8,3.0355819339E10,33334.0,1.0016998E7,9.754117766E9,4.75790633E8,8.876720962E9,9705.0,2324682.0,5.2367625631E10,6.1691506E8,5.0957798885E10,55928.0,1.6777218E7
6000,5.555,3.1596739881E10,5.15398522E8,3.0313130224E10,33334.0,1.0002333E7,3.1615454093E10,5.12495311E8,3.0335785638E10,33334.0,9997500.0,3.1701680094E10,4.82486013E8,3.0324920281E10,33334.0,2.1797253E7,3.1595094779E10,4.93099488E8,3.0310028312E10,33334.0,1.002934E7,1.4561215591E10,4.84454784E8,1.3622596703E10,14745.0,4065639.0,5.23468701E10,5.81924816E8,5.0972503667E10,55928.0,1.6777218E7
10000,3.333,3.1638397861E10,4.7704869E8,3.0375891505E10,33334.0,1.0004999E7,3.1572907647E10,4.97171107E8,3.0408074297E10,33334.0,1.0002499E7,3.1604771933E10,4.80594112E8,3.0380373428E10,33334.0,2.2012131E7,3.1595415469E10,4.88633996E8,3.0436671338E10,33334.0,1.0049997E7,1.8627751323E10,5.02708328E8,1.7521460315E10,19198.0,4893245.0,5.2361509241E10,6.07604758E8,5.0886864482E10,55928.0,1.6777218E7
15000,2.222,3.1626038786E10,4.76144672E8,3.048778189E10,33334.0,1.0006831E7,3.1584075147E10,4.83363876E8,3.030149385E10,33334.0,1.0001745E7,3.1685626343E10,4.70561533E8,3.033382012E10,33334.0,2.4443003E7,3.1671428987E10,4.81096514E8,3.0406456055E10,33334.0,1.0075063E7,2.4587227096E10,4.92692917E8,2.3455088686E10,25724.0,1.0694903E7,5.2620975401E10,5.87672141E8,5.1102819482E10,55928.0,1.6777218E7
