nout,lttb_n,lttb_ssim,ilts_n,ilts_ssim,minmaxlttb_n,minmaxlttb_ssim,minmax_n,minmax_ssim,m4_n,m4_ssim,om3_n,om3_ssim
320,320,0.5821908407488157,320,0.6066980062010796,320,0.528755378653376,320,0.48430431158825954,320,0.46851143146500973,16777216,0.41503427071928173
480,480,0.6525498954343261,480,0.6666670266407413,476,0.628940734907017,480,0.582555823779244,480,0.5088812892634184,16777216,0.47277609285843974
740,740,0.7177589540518934,740,0.7341121094642024,739,0.7145998547912753,740,0.6433911821748806,740,0.5714228780472448,16777216,0.5831632119770049
1200,1200,0.7893623771063486,1200,0.8028789041944666,1192,0.7741145674058251,1200,0.7316350448021287,1200,0.6398367997243222,16777216,0.6960098393100261
2000,2000,0.8532068220568302,2000,0.8659042888914814,1980,0.839228232197054,2000,0.8280175066145007,2000,0.7331315899741394,16777216,0.7864744795765464
3500,3500,0.9071697859291387,3500,0.9202420908785558,3477,0.9044356881100515,3500,0.9143498560789278,3500,0.804698362624908,16777216,0.8665426347198086
6000,6000,0.9375535493483463,6000,0.946005830514107,5961,0.9421114094486877,6000,0.9533395688773267,6000,0.8832697250615617,16777216,0.9199618179743203
10000,10000,0.9579480803231177,10000,0.9644447505068731,9935,0.9625589156807214,10000,0.9668031393119954,10000,0.999993231111651,16777216,0.9354209113550747
15000,15000,0.9659623392067507,15000,0.9708374482021952,14914,0.9728596937367497,15000,0.9899611633601428,15000,0.9676306006854346,16777216,0.9634379486712058
