nout,lttb_n,lttb_ssim,ilts_n,ilts_ssim,minmaxlttb_n,minmaxlttb_ssim,minmax_n,minmax_ssim,m4_n,m4_ssim,om3_n,om3_ssim
320,320,0.6171637928242509,320,0.6300372486797201,320,0.5827763118962774,320,0.5460835137816322,320,0.48486021368187593,16777216,0.5232069731754062
480,480,0.7295077145775636,480,0.7499423834847289,480,0.7047652056946632,480,0.6474517927631163,480,0.5556700427683731,16777216,0.5231979014787035
740,740,0.8021030753324339,740,0.8083047458943687,740,0.7789959577329072,740,0.7107427027926729,740,0.6213337062434248,16777216,0.6167935658108422
1200,1200,0.8680756896473416,1200,0.8714402226819218,1198,0.8447475718088817,1200,0.8032154857592707,1200,0.6958570631146964,16777216,0.7444821780696551
2000,2000,0.9148952910003619,2000,0.9185101179844013,1994,0.9044631882330106,2000,0.8844228926512007,2000,0.7816396083069425,16777216,0.8037741363754239
3500,3500,0.9460979408231449,3500,0.949469759784644,3489,0.9451177609513944,3500,0.9424735390076403,3500,0.8556977085167341,16777216,0.8815063376657769
6000,6000,0.9685857109634113,6000,0.9704864407358503,5982,0.9675261532714896,6000,0.9703990320778524,6000,0.9105925845289448,16777216,0.9209402299448395
10000,10000,0.9794466856515754,10000,0.9783154111745541,9976,0.9791014688110825,10000,0.979460140123618,10000,0.9999543423190087,16777216,0.9420837182419929
15000,15000,0.9838789218913974,15000,0.9831808182007172,14958,0.9842997838571133,15000,0.9915073341673664,15000,0.9739066439227123,16777216,0.9646132941024369
