nout,lttb_n,lttb_ssim,ilts_n,ilts_ssim,minmaxlttb_n,minmaxlttb_ssim,minmax_n,minmax_ssim,m4_n,m4_ssim,om3_n,om3_ssim
320,320,0.5492880054853265,320,0.5873282358010191,316,0.525454649582005,320,0.5514795985901259,320,0.5452794847721543,16777216,0.5936291278666356
480,480,0.5920994588129467,480,0.6358954197927081,472,0.5619817829152163,480,0.5914509688603854,480,0.5488204886507961,16777216,0.5990607649006355
740,740,0.651496974468815,740,0.7016207526126363,728,0.625807379513373,740,0.6473847264766139,740,0.60325710283029,16777216,0.6698814963440065
1200,1200,0.7252142511039891,1200,0.7712498058457665,1188,0.7005423947345412,1200,0.7233713544741106,1200,0.6804308341903224,16777216,0.7711347673594192
2000,2000,0.8061800280392407,2000,0.8454319884933617,1963,0.7991899485192464,2000,0.7982144862629664,2000,0.7687460742944721,16777216,0.818318998365596
3500,3500,0.8970921816075048,3500,0.9273784969610116,3434,0.9010492640605453,3500,0.9042759654799241,3500,0.8382749280025048,16777216,0.8910314339376315
6000,6000,0.9319164450367383,6000,0.9498658071333028,5863,0.9396630501026637,6000,0.9477574941818858,6000,0.9346778300457889,16777216,0.925544661037303
10000,10000,0.953641401063713,10000,0.9665718042694765,9799,0.9611722659377011,10000,0.9646345808615882,10000,1.0,16777216,0.9493536058940745
15000,15000,0.9643515679910337,15000,0.9723187258268737,14721,0.9710519590247135,15000,0.9786853061123854,15000,0.9882914538684614,16777216,0.9693466558889254
